,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
136,SAHAM INSURANCE COMPANY LTD,"6,518","173,531,815,431",,"11,844","418,797,832,660",,2016,"1,559,828","3,253","878,907","684,174","217,332",0,"320,220",0,"581,286","255,339","3,822","354,600","-32,475","94,493","62,018",0,"7,391","2,812","2,316","1,241",472,"90,204","31,907",0,600,"3,473","7,641","40,227","25,796","214,078","300,000",0,"-4,945",0.0,"149,779","30,000","474,834","526,957",0.0,0,"251,665","1,253,455",0,0,"10,348","419,144",0,0,"55,796",0,0.0,"30,543",0,0.0,0.0,"9,692",0,"302,282","19,402","333,179",0,"40,051","33,017","1,253,455",0,"15,309","5,128","7,962","3,052",951,"174,033","142,933",0,"3,942","14,491","59,988","71,831","81,665","581,286",0,"1,657","3,508",342,"13,190","2,547","111,744","34,852",0,"3,460","4,248","10,028","50,035","19,727","255,339",,,
137,SANLAM INSURANCE COMPANY LTD ,"18,282","66,089,075,303",,"28,998","75,616,812,739",,2016,"961,583","40,616","180,266","821,934","206,775",0,"380,767",0,"647,941","134,653","56,883","494,098","-37,693",901,"-36,792",0,196,"1,501",553,956,674,"182,111","44,725","99,293",238,943,"3,886","58,515",-5,"393,587","600,284","102,759","77,611",0.0,"-274,289",0,"506,366","1,468,369",0.0,0,"207,993","2,182,728",0,"516,700","23,605","224,800",0,0,"15,000",0,0.0,558,"104,095",0.0,0.0,"9,578",0,"154,759","89,453","332,973","11,660","687,809","11,739","2,182,728",0,"-7,753","2,119","9,031","10,969","1,049","244,864","200,143","37,664","3,861","19,662","14,972","102,398","8,960","647,941",0,"1,591","6,190","3,474","3,232",381,"134,213","-46,713","-81,484","-4,094",614,"-1,211","115,887","2,574","134,653",,,
138,TAKAFUL INSURANCE OF AFRICA LTD,"3,033","24,167,008,674",,"7,820","58,647,558,961",,2016,"816,450",0,"200,665","615,785","354,266","29,954","334,641","23,269","642,096","146,144","27,798","386,378","81,776","46,747","128,523",0,0,272,348,"2,010",11,"53,423","47,831",0,0,"3,380","2,885","34,768","1,871","146,800","470,203","50,000",0,0.0,"-23,154",0,"497,049","652,175",0.0,"40,000","274,289","1,463,513",0,"21,100","47,501","32,547",0,0,"56,769",0,0.0,0,0,0.0,0.0,0,0,"557,995","159,846","262,552",0,"274,603","50,601","1,463,513",0,"17,545","7,500","19,180","24,401",-809,"204,631","243,337",0,"21,029","46,955","44,442","-13,246","27,133","642,096",0,"4,161","-1,302","-7,510","-8,253","-2,094","28,903","18,996",0,499,"27,660","3,193","81,438",452,"146,144",,,
139,TAUSI ASSURANCE COMPANY LTD,"8,917","81,800,670,366",,"20,519","220,399,643,360",,2016,"950,169","13,169","290,518","672,821","189,478",0,"232,469",0,"629,829","262,000","57,046","192,871","117,911",0,"117,911",0,"4,451","34,178","22,093","4,366","22,788","53,456","44,164",0,350,"23,383","64,256","4,147",165,"277,797","600,000",0,"149,944",0.0,"372,332","-25,035","1,097,241","735,124",0.0,"50,682","101,574","1,984,621","270,031",0,"19,047","1,009,123",0,0,0,"21,684",0.0,"184,925","5,713",0.0,0.0,"4,118","94,115","214,605","14,471","80,668",0,"13,933","52,187","1,984,621",0,"9,209","26,178","34,048","10,252","75,397","142,505","84,624",0,"11,186","85,730","131,502","8,072","11,127","629,829",0,"4,512","31,526","19,590","2,176","33,725","63,415","25,310",0,"1,101","30,333","45,550","4,778",-15,"262,000",,,
140,THE KENYAN ALLIANCE INSURANCE COMPANY LTD,"11,388","47,640,903,515",,"24,187","125,236,872,281",,2016,"1,079,632","16,291","133,411","962,513","482,670",0,"508,526",0,"936,658","527,644","90,854","385,852","-67,693","135,433","67,740",0,-70,"28,547","10,201","1,188","10,422","213,842","263,818",0,"16,298","13,069","11,936",0,0,"569,251","300,000",0,"97,313",0.0,"930,673","-1,700","1,326,286","1,242,501",0.0,"56,794","700,609","3,326,190","115,000","1,260,849","43,605","374,564",0,0,"28,422",0,0.0,"21,122",0,0.0,0.0,"9,461",0,"611,221","28,827","584,782","96,138","91,179","61,022","3,326,190",0,"13,858","36,236","19,467","4,980","10,924","408,870","323,982",0,"36,041","38,853","41,637",0,"1,810","936,658",0,423,"21,884","14,085",399,"8,372","261,769","188,350",0,-242,"20,788","11,816",0,0,"527,644",,,
141,THE MONARCH INSURANCE COMPANY LTD,"55,324","100,441,854,798",,"74,824","147,517,782,748",,2016,"1,018,281","33,358","137,995","913,645","253,859",0,"406,522",0,"760,981","373,211","51,255","345,979","-9,464",0,"-9,464",0,190,265,"1,572","1,563","1,042","179,987","58,544",0,"1,032",250,"5,090",0,0,"249,536","316,476",0,0,0.0,"57,312","23,000","396,789","766,881",0.0,0,"81,744","1,245,413",0,"376,518","7,517","171,175",0,0,0,0,0.0,0,59,0.0,0.0,0,0,"58,334","23,140","516,233","3,250","44,090","45,097","1,245,413",0,"2,915","1,317","14,964","4,912","1,284","394,598","234,719",0,"8,135","2,769","27,579",0,"67,788","760,981",0,-109,257,990,169,630,"259,063","101,792",0,494,539,"9,204",0,182,"373,211",,,
142,TRIDENT INSURANCE COMPANY LTD,"24,716","3,766,712,966,248",,"47,804","3,960,777,837,473",,2016,"1,259,551","36,222","582,562","713,211","295,327",0,"409,716",0,"598,822","313,939","-24,030","368,995","-60,082",0,"-60,082",0,"7,225","3,130","9,965",975,"5,579","108,366","90,460",0,"1,500","4,806","34,861","57,050",3,"323,921","500,000",0,"196,767",0.0,"1,471,341","25,000","2,193,108","1,584,547",0.0,"56,715","425,224","4,259,595","240,660","1,716,399","16,796","249,061","16,955","615,600","23,750",0,0.0,"5,113","7,985",0.0,0.0,"764,109",0,"61,427","4,210","478,837","29,840","23,508","5,345","4,259,595",297,"7,313","3,649","15,944","4,843","8,158","169,626","182,219","13,417","5,412","10,499","54,879","101,041","21,524","598,822","-1,081","7,428","2,056","6,116","1,873","-6,503","111,559","106,603","-2,400","-2,103","-8,359","-10,262","113,887","-4,876","313,939",,,
143,UAP INSURANCE COMPANY,"34,877","681,973,026,837",,"79,190","13,596,856,082,416",,2016,"10,852,494","129,575","2,176,631","8,805,438","2,934,218",0,"3,286,390",0,"8,453,266","5,836,674","788,865","2,089,706","-261,979",0,"-261,979",0,"19,416","12,001","55,920","20,885","20,727","810,180","478,612",0,"23,226","42,884","77,255","3,801,158","12,505","5,374,769","1,000,000",0,0,0.0,"4,787,884","1,859,987","7,647,871","6,617,516",0.0,0,"1,790,448","16,055,834",0,"3,636,700","67,768","3,399,986",0,0,"807,724",0,0.0,"1,386,329","65,550",0.0,0.0,"906,554","217,410","1,285,487","64,670","1,885,108","1,449,484","544,599","338,467","16,055,834",0,"49,688","91,609","225,317","76,921","53,860","1,242,558","1,140,908",0,"96,075","179,384","278,863","4,979,873","38,209","8,453,266",0,"13,408","11,518","89,499","31,239","3,068","1,023,214","582,936",0,"34,805","71,130","177,913","3,783,736","14,206","5,836,674",,,
144,XPLICO INSURANCE COMPANY LTD,"195,504","14,498,444,254",,"236,397","22,936,626,305",,2016,"1,229,298",0,"49,908","1,179,390","617,076",0,"360,685",0,"1,435,781","506,661","102,882","856,749","-30,512",0,"-30,512",0,-60,232,0,0,0,"226,487","65,698",0,0,"-2,445","-32,701","154,811",0,"412,023","887,500",0,"19,670",0.0,"157,336",0,"1,064,506","686,498",0.0,0,"341,374","2,092,379","586,500",0,"125,793","80,000","103,000","25,251",0,0,0.0,0,0,0.0,0.0,"3,613",0,"214,108","39,734","593,873","161,457","153,493","5,556","2,092,379","3,067","-20,806",-201,"1,884","5,054","-125,397","897,709","206,800",0,"-14,771","3,772","8,392","380,054","90,224","1,435,781",-205,"-3,215",-642,-67,-791,"-12,641","276,627","77,308",0,"-1,201","-9,086","-51,607","232,627",-446,"506,661",,,
0,AAR INSURANCE KENYA LTD,4216.0,,,14234.0,,,2017,5799296.0,0.0,2132451.0,3666845.0,3235350.0,0.0,1676743.0,0.0,5225452.0,4228107.0,478073.0,1229204.0,-709932.0,0.0,-709932.0,0.0,0.0,114.0,0.0,0.0,376.0,0.0,0.0,0.0,8169.0,-1616.0,6518.0,3694339.0,12696.0,3720596.0,400000.0,600523.0,0.0,0.0,-344837.0,0.0,655686.0,2627879.0,0.0,0.0,303761.0,3587325.0,0.0,0.0,110081.0,1258329.0,0.0,0.0,107633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792967.0,33681.0,610225.0,206830.0,252245.0,215334.0,3587325.0,0.0,0.0,5341.0,0.0,1702.0,1170.0,0.0,0.0,0.0,23720.0,899.0,16977.0,5163074.0,12569.0,5225452.0,0.0,0.0,93.0,0.0,0.0,876.0,0.0,0.0,0.0,12577.0,-1616.0,3644.0,4194669.0,17864.0,4228107.0,13438755.926,19598259.093,
1,AFRICAN MERCHANT ASSURANCE COMPANY LTD,50489.0,,,86002.0,,,2017,2470946.0,59136.0,633836.0,1896246.0,1078654.0,0.0,645412.0,0.0,2329488.0,1494221.0,104538.0,908101.0,-177372.0,151952.0,-25421.0,0.0,2639.0,729.0,30175.0,2297.0,214.0,428514.0,376741.0,144680.0,100158.0,14196.0,31959.0,0.0,3175.0,1135477.0,987386.0,0.0,0.0,0.0,506236.0,20852.0,1514474.0,2098941.0,0.0,0.0,260911.0,3874326.0,732676.0,530000.0,137119.0,502551.0,0.0,0.0,11012.0,0.0,0.0,26065.0,0.0,0.0,0.0,12463.0,0.0,617741.0,98007.0,843150.0,43958.0,180007.0,139577.0,3874326.0,0.0,126039.0,-1055.0,46596.0,19711.0,2614.0,668854.0,869913.0,77288.0,355299.0,2976.0,117046.0,0.0,44209.0,2329488.0,0.0,3254.0,1079.0,24976.0,4709.0,2019.0,607401.0,669101.0,-106855.0,233172.0,6081.0,27706.0,0.0,21578.0,1494221.0,2770956771.38,4912976970.803,
2,AIG INSURANCE COMPANY LTD,26864.0,,,61141.0,,,2017,3647387.0,78207.0,2718525.0,1007070.0,772460.0,0.0,295730.0,0.0,1483800.0,849561.0,-280856.0,650855.0,264241.0,0.0,264241.0,6864.0,1501.0,30806.0,63384.0,91216.0,4031.0,492576.0,168633.0,0.0,112708.0,16051.0,20517.0,0.0,0.0,1008287.0,450000.0,0.0,-2732.0,0.0,1332637.0,300000.0,2079905.0,1026522.0,0.0,0.0,1615395.0,4721822.0,0.0,510000.0,52849.0,2995295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9929.0,0.0,1101.0,92189.0,644915.0,143293.0,271277.0,974.0,4721822.0,2566.0,34233.0,100365.0,23890.0,363500.0,23941.0,456777.0,178872.0,0.0,278773.0,80036.0,-59152.0,0.0,0.0,1483800.0,9064.0,2060.0,20837.0,63049.0,22576.0,5920.0,417134.0,144070.0,0.0,129217.0,15763.0,19870.0,0.0,0.0,849560.0,332200143.114,1311642485.652,
3,ALLIANZ INSURANCE COMPANY OF KENYA,1603.0,,,2052.0,,,2017,346888.0,0.0,157005.0,189883.0,25729.0,0.0,85741.0,0.0,129871.0,89880.0,26436.0,225488.0,-211932.0,35350.0,-176582.0,0.0,-22.0,32081.0,738.0,1174.0,0.0,13540.0,2863.0,0.0,0.0,506.0,1176.0,0.0,0.0,52056.0,1000000.0,0.0,0.0,0.0,-154663.0,0.0,845337.0,127563.0,0.0,0.0,212282.0,1185182.0,0.0,0.0,66405.0,677842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51210.0,81378.0,104691.0,0.0,128412.0,75245.0,1185182.0,100.0,2495.0,9364.0,13146.0,14197.0,13253.0,35197.0,16381.0,0.0,1473.0,774.0,25188.0,0.0,-1697.0,129871.0,-1.0,496.0,32104.0,6105.0,-533.0,8022.0,21093.0,14030.0,0.0,72.0,592.0,7910.0,0.0,-10.0,89880.0,189388840.47,231459317.585,
4,APA INSURANCE LTD,30942.0,,,92396.0,,,2017,8100695.0,202380.0,2564081.0,5738994.0,2467639.0,0.0,2067579.0,50809.0,6088245.0,4097310.0,458911.0,1465891.0,66133.0,0.0,66133.0,0.0,22835.0,11922.0,49413.0,59181.0,44444.0,1088613.0,1029210.0,0.0,75336.0,107430.0,284357.0,1538373.0,50349.0,4361463.0,1250000.0,0.0,0.0,0.0,4277802.0,474787.0,6002589.0,7647234.0,0.0,0.0,529845.0,14179668.0,0.0,1313000.0,98466.0,7332330.0,25516.0,618675.0,361573.0,0.0,0.0,1175915.0,21086.0,0.0,0.0,53231.0,77775.0,633241.0,219764.0,1669207.0,64979.0,303212.0,211698.0,14179668.0,-2.0,58784.0,53446.0,133144.0,53453.0,110848.0,1245395.0,1403478.0,0.0,121620.0,161904.0,592255.0,1977587.0,176334.0,6088245.0,-245.0,53230.0,13443.0,159344.0,-46828.0,59729.0,764877.0,893154.0,0.0,100375.0,139788.0,454100.0,1557264.0,-50920.0,4097311.0,793318001.375,10093014339.012,
5,BRITAM GENERAL INSURANCE,51782.0,,,274967.0,,,2017,8042402.0,0.0,1334348.0,6708053.0,2530765.0,98165.0,2397155.0,94336.0,6845492.0,4057175.0,708511.0,2408293.0,-328487.0,873087.0,544601.0,0.0,7667.0,12482.0,55233.0,1147.0,13999.0,859127.0,553723.0,0.0,49559.0,68930.0,50666.0,1753626.0,324016.0,3750175.0,2668000.0,0.0,0.0,0.0,716566.0,0.0,3384566.0,5777555.0,0.0,0.0,1434587.0,10596709.0,41425.0,0.0,110397.0,4739779.0,0.0,0.0,462139.0,0.0,0.0,636641.0,21567.0,0.0,0.0,0.0,0.0,463465.0,1311858.0,1109422.0,0.0,837475.0,862540.0,10596709.0,0.0,41988.0,95532.0,143062.0,51530.0,111509.0,1253315.0,1188045.0,0.0,408143.0,177552.0,191901.0,2520099.0,662817.0,6845492.0,0.0,2933.0,8358.0,75076.0,-10787.0,8030.0,966718.0,547122.0,0.0,41659.0,64842.0,68131.0,1925433.0,359658.0,4057173.0,413956710.201,1004955893.138,
6,CANNON ASSURANCE LTD,4587.0,,,14533.0,,,2017,1269816.0,13926.0,428488.0,855253.0,558806.0,105413.0,418415.0,71008.0,1030050.0,780227.0,59820.0,463204.0,-273201.0,0.0,-273201.0,0.0,45463.0,20647.0,-1164.0,2375.0,23978.0,386750.0,282411.0,0.0,-12158.0,6760.0,58357.0,0.0,-4593.0,808826.0,453960.0,396040.0,0.0,0.0,-265937.0,0.0,584063.0,1296943.0,0.0,0.0,534080.0,2415087.0,90000.0,276000.0,30532.0,817261.0,0.0,20883.0,26836.0,0.0,0.0,207345.0,241493.0,0.0,0.0,5951.0,33089.0,150374.0,32348.0,205552.0,139634.0,36087.0,101700.0,2415087.0,0.0,-7061.0,10089.0,9824.0,5879.0,22010.0,459535.0,377767.0,0.0,16993.0,35041.0,89852.0,0.0,10121.0,1030050.0,0.0,5594.0,3846.0,-397.0,-6240.0,21734.0,338149.0,321869.0,0.0,-27769.0,-74.0,123929.0,0.0,-415.0,780226.0,163916463.792,3100443124.348,
7,CIC GENERAL INSURANCE LTD,60829.0,,,201572.0,,,2017,10141109.0,0.0,1442134.0,8698975.0,3366626.0,0.0,3712099.0,0.0,8353502.0,5616982.0,893961.0,2392246.0,-549687.0,884899.0,335212.0,0.0,-11.0,15477.0,67838.0,52531.0,47443.0,1914993.0,1336441.0,0.0,41879.0,132877.0,46284.0,1232185.0,28661.0,4916598.0,1700000.0,0.0,0.0,0.0,2469456.0,-173813.0,3995643.0,6890013.0,0.0,0.0,573147.0,11458803.0,234000.0,1588000.0,218521.0,2738823.0,269668.0,0.0,235150.0,40577.0,0.0,578556.0,23124.0,0.0,0.0,94764.0,162381.0,1873853.0,132463.0,2139829.0,136259.0,948775.0,44061.0,11458803.0,0.0,98063.0,84448.0,273749.0,85801.0,76563.0,2300935.0,2473249.0,0.0,268693.0,413743.0,319119.0,1903541.0,55599.0,8353502.0,0.0,18902.0,14701.0,107885.0,89654.0,21559.0,1992246.0,1467197.0,0.0,89781.0,124718.0,184597.0,1358749.0,146992.0,5616981.0,3074031913.427,8179771720.643,
8,CORPORATE INSURANCE COMPANY,3030.0,,,8583.0,,,2017,310325.0,43223.0,57179.0,296369.0,111255.0,0.0,107269.0,0.0,300355.0,125993.0,28486.0,142055.0,3821.0,39061.0,42883.0,0.0,9532.0,37.0,4006.0,8535.0,9415.0,43800.0,24284.0,0.0,787.0,856.0,6127.0,0.0,10.0,107389.0,400000.0,0.0,0.0,0.0,547938.0,0.0,947938.0,313713.0,0.0,0.0,110158.0,1371809.0,0.0,813500.0,3958.0,129508.0,0.0,0.0,0.0,0.0,0.0,1626.0,1151.0,0.0,0.0,2966.0,0.0,18956.0,7911.0,285606.0,5414.0,83931.0,17283.0,1371809.0,0.0,13881.0,2166.0,19141.0,5883.0,65224.0,98167.0,58649.0,0.0,3383.0,5182.0,21900.0,0.0,6779.0,300355.0,0.0,11271.0,3.0,18062.0,8958.0,8649.0,54265.0,19218.0,0.0,771.0,-3948.0,7104.0,0.0,1639.0,125992.0,19874805.428,76193985.802,
9,DIRECTLINE ASSURANCE,85098.0,,,328787.0,,,2017,3086232.0,0.0,84840.0,3001392.0,904419.0,0.0,693915.0,0.0,3211896.0,1937162.0,344152.0,827424.0,103159.0,0.0,103159.0,0.0,0.0,0.0,0.0,0.0,0.0,39382.0,14273.0,1440488.0,0.0,0.0,0.0,0.0,0.0,1494143.0,300000.0,0.0,-84287.0,0.0,851153.0,0.0,1066865.0,4395967.0,0.0,619390.0,96657.0,6178880.0,397000.0,1332000.0,16594.0,800175.0,0.0,9667.0,0.0,0.0,0.0,132948.0,0.0,0.0,0.0,16583.0,0.0,405429.0,1162386.0,0.0,0.0,1836707.0,69391.0,6178880.0,0.0,0.0,0.0,0.0,0.0,0.0,132758.0,36627.0,3042511.0,0.0,0.0,0.0,0.0,0.0,3211896.0,0.0,0.0,0.0,0.0,0.0,0.0,96737.0,36307.0,1804119.0,0.0,0.0,0.0,0.0,0.0,1937163.0,4394880.0,4394880.0,
10,FIDELITY SHIELD INSURANCE COMPANY LTD,12986.0,,,32142.0,,,2017,2360849.0,28766.0,697050.0,1692564.0,498708.0,0.0,686163.0,0.0,1505109.0,947073.0,133491.0,416800.0,7744.0,0.0,7744.0,0.0,3984.0,7746.0,26083.0,8527.0,16878.0,260927.0,367747.0,35816.0,3710.0,27994.0,87594.0,0.0,659.0,847665.0,600000.0,0.0,109028.0,0.0,478844.0,0.0,1187872.0,1779878.0,0.0,0.0,131155.0,3098905.0,275117.0,1126883.0,23141.0,418781.0,0.0,0.0,0.0,0.0,0.0,120404.0,0.0,0.0,0.0,4195.0,12823.0,282356.0,122072.0,506569.0,0.0,121045.0,85520.0,3098905.0,17.0,-7969.0,19725.0,56625.0,11497.0,50645.0,430477.0,634876.0,43284.0,13258.0,67837.0,179742.0,0.0,5093.0,1505109.0,-6.0,3438.0,4407.0,25010.0,115.0,26755.0,260051.0,443661.0,49695.0,3816.0,28103.0,100316.0,0.0,1713.0,947074.0,240738776.031,2459242089.33,
11,FIRST ASSURANCE COMPANY LTD,11216.0,,,23955.0,,,2017,2907035.0,76036.0,1329794.0,1653277.0,753348.0,0.0,664752.0,27444.0,1714429.0,1023704.0,127378.0,757594.0,-194247.0,0.0,-194247.0,0.0,34977.0,5613.0,37749.0,21910.0,39763.0,348547.0,325043.0,0.0,21348.0,44370.0,104652.0,293408.0,3954.0,1281334.0,660000.0,512139.0,249165.0,0.0,462393.0,0.0,1883697.0,1861705.0,0.0,0.0,922314.0,4667716.0,345000.0,1410000.0,46215.0,1337861.0,0.0,0.0,46278.0,0.0,0.0,14054.0,0.0,0.0,0.0,22217.0,0.0,245713.0,54135.0,797835.0,0.0,242328.0,106079.0,4667716.0,95.0,29471.0,23944.0,86736.0,26328.0,43515.0,464709.0,396612.0,0.0,69617.0,40817.0,110734.0,388419.0,33433.0,1714429.0,-345.0,19442.0,9237.0,29659.0,-16876.0,28416.0,272736.0,209002.0,0.0,39358.0,32231.0,154382.0,250489.0,-4028.0,1023703.0,7778431.745,13011735.609,
12,GA LIFE ASSURANCE LIMITED,21835.0,,,54161.0,,,2017,5547255.0,63897.0,2748325.0,2862827.0,1006666.0,0.0,1157317.0,0.0,2712176.0,1602086.0,32562.0,680585.0,396943.0,644676.0,1041618.0,1338.0,26790.0,20964.0,53845.0,9205.0,49715.0,301574.0,311054.0,-43185.0,16971.0,144725.0,327871.0,212009.0,-124.0,1432752.0,700000.0,0.0,829766.0,0.0,1846564.0,243536.0,3619866.0,4565549.0,0.0,2134.0,1454643.0,9642192.0,1143000.0,1390757.0,31902.0,2702735.0,0.0,356109.0,291937.0,10000.0,0.0,495883.0,261880.0,0.0,0.0,213605.0,0.0,718747.0,217353.0,1373391.0,10183.0,85141.0,339571.0,9642192.0,926.0,61224.0,65757.0,127484.0,66896.0,164155.0,475005.0,500654.0,74367.0,49100.0,310552.0,450179.0,316835.0,49041.0,2712176.0,1609.0,22527.0,11385.0,16447.0,14254.0,57304.0,342421.0,408454.0,-43226.0,14121.0,127163.0,419152.0,213361.0,-2885.0,1602087.0,594037403.811,1417236288.046,
13,GEMINIA INSURANCE COMPANY LTD,16412.0,,,30707.0,,,2017,3367414.0,44188.0,575255.0,2836347.0,866012.0,0.0,1310846.0,0.0,2391513.0,1476283.0,267501.0,496063.0,151666.0,246010.0,397677.0,0.0,3448.0,16042.0,27815.0,11823.0,9664.0,480934.0,442507.0,0.0,5145.0,9201.0,184374.0,0.0,-67.0,1190886.0,550000.0,0.0,578992.0,0.0,643461.0,136608.0,1909060.0,2864807.0,0.0,2292.0,262702.0,5038861.0,18929.0,973000.0,44560.0,890200.0,0.0,86571.0,24300.0,0.0,0.0,170698.0,7371.0,0.0,0.0,159437.0,0.0,968859.0,137112.0,920438.0,19043.0,609729.0,8616.0,5038861.0,1427.0,15988.0,42398.0,170824.0,41897.0,159986.0,698180.0,725995.0,0.0,24656.0,161067.0,316609.0,0.0,32485.0,2391513.0,0.0,5841.0,13049.0,62531.0,31380.0,50016.0,629889.0,471293.0,0.0,5978.0,14739.0,190195.0,0.0,1372.0,1476283.0,336947809.265,583920766.79,
14,HERITAGE INSURANCE COMPANY KENYA LTD,0.0,,,0.0,,,2017,5914746.0,28350.0,2788838.0,3154258.0,1208120.0,0.0,1264377.0,0.0,3098001.0,1501360.0,25895.0,1306751.0,263995.0,625713.0,889708.0,0.0,35491.0,42479.0,22418.0,2254.0,12102.0,494824.0,263551.0,0.0,68552.0,39458.0,75735.0,297519.0,30533.0,1384916.0,500000.0,0.0,0.0,0.0,2601771.0,0.0,3101771.0,2965959.0,0.0,0.0,1236078.0,7303808.0,0.0,0.0,87780.0,3279797.0,0.0,146557.0,175124.0,0.0,0.0,334696.0,0.0,0.0,0.0,51200.0,264746.0,742381.0,311870.0,1303112.0,82361.0,473282.0,50901.0,7303808.0,1245.0,42615.0,134142.0,121877.0,119013.0,70236.0,800012.0,572913.0,28563.0,184361.0,139170.0,308094.0,455900.0,119860.0,3098001.0,-1129.0,50274.0,26579.0,24711.0,15851.0,7808.0,571255.0,282559.0,-3383.0,45763.0,50191.0,99165.0,305839.0,25878.0,1501361.0,0.0,0.0,
